age;gender;inccat;ed;marital;savings
33;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);16,9
36;Мужской;50 - 74;Среднее;Женат (замужем);27
34;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);27,9
46;Женский;75+;Среднее;Женат (замужем);44,8
46;Мужской;75+;Незаконченное высшее;Не женат (не замужем);71,7
45;Женский;75+;Среднее специальное;Женат (замужем);54,3
60;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);16,6
24;Мужской;18 - 24;Среднее;Женат (замужем);8,7
55;Женский;75+;Среднее специальное;Не женат (не замужем);48,5
52;Мужской;25 - 49;Среднее специальное;Женат (замужем);20,7
62;Женский;18 - 24;Среднее специальное;Женат (замужем);10,5
33;Женский;18 - 24;Среднее;Женат (замужем);11,6
68;Женский;50 - 74;Среднее;Не женат (не замужем);30,9
30;Женский;25 - 49;Среднее;Женат (замужем);24,4
27;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);26,3
45;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);18,2
29;Женский;18 - 24;Среднее;Не женат (не замужем);8,4
62;Мужской;75+;Среднее специальное;Не женат (не замужем);48,3
34;Женский;18 - 24;Среднее;Не женат (не замужем);8,5
45;Женский;25 - 49;Среднее;Не женат (не замужем);17,6
39;Женский;50 - 74;Незаконченное высшее;Женат (замужем);30,2
46;Мужской;50 - 74;Среднее;Женат (замужем);27,2
32;Женский;25 - 49;Среднее;Женат (замужем);16,1
51;Женский;25 - 49;Среднее специальное;Женат (замужем);17,1
55;Женский;75+;Среднее;Не женат (не замужем);47,9
49;Женский;75+;Среднее;Не женат (не замужем);41,7
51;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);12,9
66;Женский;18 - 24;Неполное среднее;Не женат (не замужем);11,2
24;Женский;25 - 49;Незаконченное высшее;Женат (замужем);17
31;Мужской;25 - 49;Среднее;Не женат (не замужем);17,4
37;Женский;25 - 49;Высшее, ученая степень;Женат (замужем);20,7
49;Мужской;75+;Неполное среднее;Женат (замужем);49,2
45;Женский;50 - 74;Среднее;Не женат (не замужем);33,8
39;Женский;18 - 24;Неполное среднее;Женат (замужем);11,9
32;Женский;50 - 74;Среднее;Женат (замужем);25,2
66;Мужской;18 - 24;Среднее;Не женат (не замужем);4,5
35;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);24,1
54;Мужской;50 - 74;Высшее, ученая степень;Не женат (не замужем);30
59;Мужской;25 - 49;Неполное среднее;Женат (замужем);19,4
43;Женский;75+;Высшее, ученая степень;Не женат (не замужем);65,2
55;Женский;18 - 24;Неполное среднее;Женат (замужем);10,6
54;Мужской;50 - 74;Высшее, ученая степень;Женат (замужем);25
58;Мужской;75+;Среднее;Не женат (не замужем);72,4
47;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);12,9
38;Женский;25 - 49;Среднее;Женат (замужем);14,5
39;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);26,1
27;Мужской;25 - 49;Среднее;Женат (замужем);17,8
39;Женский;50 - 74;Среднее специальное;Не женат (не замужем);25,9
46;Мужской;50 - 74;Среднее;Не женат (не замужем);36,7
65;Мужской;75+;Незаконченное высшее;Женат (замужем);80,3
43;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);14,8
31;Женский;18 - 24;Неполное среднее;Не женат (не замужем);8,8
29;Женский;18 - 24;Среднее специальное;Не женат (не замужем);11,1
32;Мужской;50 - 74;Среднее специальное;Женат (замужем);25,8
53;Мужской;75+;Неполное среднее;Женат (замужем);51,8
32;Мужской;25 - 49;Неполное среднее;Женат (замужем);13,6
48;Женский;75+;Среднее;Не женат (не замужем);72,4
47;Женский;75+;Среднее;Женат (замужем);42,1
40;Мужской;18 - 24;Неполное среднее;Женат (замужем);12,3
45;Женский;50 - 74;Неполное среднее;Не женат (не замужем);28,8
57;Женский;75+;Незаконченное высшее;Женат (замужем);66,7
27;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);16,2
59;Женский;75+;Среднее специальное;Не женат (не замужем);64,2
27;Женский;25 - 49;Неполное среднее;Женат (замужем);15,3
49;Женский;25 - 49;Среднее специальное;Не женат (не замужем);13,5
49;Женский;25 - 49;Среднее;Женат (замужем);18,1
38;Женский;25 - 49;Неполное среднее;Не женат (не замужем);19,4
28;Женский;18 - 24;Среднее;Женат (замужем);12,6
22;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);10,3
41;Женский;50 - 74;Неполное среднее;Не женат (не замужем);36,4
36;Женский;25 - 49;Незаконченное высшее;Женат (замужем);19,6
44;Мужской;75+;Среднее специальное;Женат (замужем);55,2
29;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);15,4
37;Женский;25 - 49;Незаконченное высшее;Женат (замужем);17,3
21;Женский;18 - 24;Среднее;Не женат (не замужем);8,9
54;Мужской;25 - 49;Среднее специальное;Женат (замужем);16,2
31;Мужской;18 - 24;Незаконченное высшее;Не женат (не замужем);8,3
58;Мужской;75+;Незаконченное высшее;Женат (замужем);62,6
28;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);12,3
44;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);18,8
39;Женский;25 - 49;Среднее специальное;Не женат (не замужем);13,1
46;Мужской;25 - 49;Среднее;Женат (замужем);19,9
34;Женский;25 - 49;Неполное среднее;Не женат (не замужем);25,7
29;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);16
32;Женский;18 - 24;Среднее;Женат (замужем);8,9
69;Мужской;18 - 24;Неполное среднее;Женат (замужем);10,1
42;Женский;25 - 49;Среднее;Не женат (не замужем);12,2
40;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);10,3
56;Женский;50 - 74;Незаконченное высшее;Женат (замужем);34
44;Женский;75+;Незаконченное высшее;Женат (замужем);59,7
58;Мужской;75+;Высшее, ученая степень;Женат (замужем);76,6
40;Мужской;25 - 49;Среднее специальное;Женат (замужем);12,7
42;Женский;75+;Высшее, ученая степень;Не женат (не замужем);85,5
30;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);13,5
43;Женский;75+;Незаконченное высшее;Женат (замужем);61,7
43;Мужской;50 - 74;Среднее;Не женат (не замужем);34,4
42;Женский;75+;Среднее;Женат (замужем);79,8
49;Мужской;75+;Среднее;Женат (замужем);54,4
34;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);18,2
25;Женский;18 - 24;Незаконченное высшее;Женат (замужем);10,4
34;Женский;50 - 74;Среднее;Не женат (не замужем);34,2
37;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);23,1
52;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);18,4
26;Мужской;18 - 24;Среднее;Не женат (не замужем);8,9
49;Мужской;75+;Незаконченное высшее;Женат (замужем);82,1
42;Женский;50 - 74;Среднее;Не женат (не замужем);35,9
48;Женский;25 - 49;Среднее специальное;Не женат (не замужем);14,2
34;Женский;75+;Незаконченное высшее;Женат (замужем);73,6
24;Мужской;18 - 24;Незаконченное высшее;Не женат (не замужем);8
69;Женский;25 - 49;Среднее специальное;Не женат (не замужем);22
24;Женский;25 - 49;Неполное среднее;Не женат (не замужем);12,8
55;Женский;25 - 49;Неполное среднее;Женат (замужем);20,2
37;Мужской;50 - 74;Среднее специальное;Не женат (не замужем);37,2
30;Женский;18 - 24;Среднее специальное;Не женат (не замужем);11,5
39;Мужской;75+;Среднее специальное;Женат (замужем);72,2
74;Мужской;50 - 74;Неполное среднее;Женат (замужем);25,3
37;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);14,4
59;Женский;18 - 24;Незаконченное высшее;Не женат (не замужем);10,1
27;Женский;25 - 49;Неполное среднее;Женат (замужем);21,9
36;Женский;18 - 24;Среднее;Не женат (не замужем);7,4
48;Женский;75+;Неполное среднее;Не женат (не замужем);54,8
36;Мужской;75+;Высшее, ученая степень;Женат (замужем);45,9
53;Женский;75+;Среднее специальное;Женат (замужем);60,6
34;Мужской;50 - 74;Среднее;Женат (замужем);27,6
61;Женский;50 - 74;Незаконченное высшее;Не женат (не замужем);31
37;Мужской;50 - 74;Среднее специальное;Не женат (не замужем);32,7
53;Мужской;75+;Среднее;Не женат (не замужем);75
29;Женский;25 - 49;Среднее;Не женат (не замужем);16,2
66;Мужской;75+;Среднее;Женат (замужем);52,4
43;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);32,8
45;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);16,6
69;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);10,5
20;Женский;18 - 24;Неполное среднее;Не женат (не замужем);7
45;Женский;25 - 49;Неполное среднее;Женат (замужем);20,7
39;Мужской;75+;Неполное среднее;Женат (замужем);54
43;Женский;75+;Незаконченное высшее;Не женат (не замужем);45,2
39;Мужской;25 - 49;Среднее;Не женат (не замужем);15,8
28;Мужской;25 - 49;Среднее;Не женат (не замужем);18,2
36;Женский;75+;Среднее;Женат (замужем);46,6
48;Мужской;75+;Среднее;Женат (замужем);65,3
23;Мужской;18 - 24;Среднее специальное;Не женат (не замужем);9,4
40;Мужской;18 - 24;Среднее;Женат (замужем);10,8
51;Женский;75+;Незаконченное высшее;Не женат (не замужем);63,8
30;Женский;50 - 74;Среднее;Женат (замужем);30,5
49;Мужской;25 - 49;Среднее;Не женат (не замужем);23,5
66;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);29,7
45;Женский;75+;Среднее;Не женат (не замужем);50,7
69;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);10,7
40;Мужской;25 - 49;Неполное среднее;Женат (замужем);17,2
53;Мужской;25 - 49;Высшее, ученая степень;Не женат (не замужем);23,5
48;Женский;75+;Среднее;Женат (замужем);46,4
33;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);18,1
36;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);15,7
61;Мужской;18 - 24;Неполное среднее;Женат (замужем);10,8
39;Мужской;50 - 74;Среднее специальное;Женат (замужем);33,2
68;Мужской;18 - 24;Среднее;Не женат (не замужем);8,8
49;Женский;75+;Среднее;Не женат (не замужем);74
31;Мужской;18 - 24;Среднее;Не женат (не замужем);10,3
50;Мужской;25 - 49;Неполное среднее;Женат (замужем);16,1
64;Мужской;18 - 24;Среднее специальное;Женат (замужем);7,3
66;Женский;18 - 24;Высшее, ученая степень;Женат (замужем);7,4
59;Мужской;18 - 24;Среднее;Женат (замужем);10,4
30;Мужской;18 - 24;Среднее специальное;Женат (замужем);10,9
29;Женский;50 - 74;Неполное среднее;Женат (замужем);24,5
25;Женский;25 - 49;Среднее;Не женат (не замужем);13
33;Мужской;50 - 74;Высшее, ученая степень;Не женат (не замужем);26,2
36;Мужской;25 - 49;Среднее;Женат (замужем);17,3
31;Женский;25 - 49;Неполное среднее;Не женат (не замужем);14,4
50;Мужской;50 - 74;Высшее, ученая степень;Не женат (не замужем);33,6
38;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);31,4
51;Женский;75+;Высшее, ученая степень;Не женат (не замужем);48,2
40;Женский;25 - 49;Высшее, ученая степень;Не женат (не замужем);17,6
71;Женский;18 - 24;Среднее;Женат (замужем);8,4
30;Женский;18 - 24;Среднее специальное;Не женат (не замужем);9,6
23;Женский;18 - 24;Среднее специальное;Женат (замужем);9,5
48;Мужской;75+;Незаконченное высшее;Женат (замужем);69,5
30;Мужской;25 - 49;Незаконченное высшее;Женат (замужем);16,2
36;Женский;75+;Высшее, ученая степень;Женат (замужем);54,8
58;Женский;50 - 74;Среднее специальное;Не женат (не замужем);29,6
59;Мужской;75+;Среднее;Женат (замужем);82,5
32;Женский;25 - 49;Неполное среднее;Не женат (не замужем);13,6
30;Мужской;25 - 49;Среднее;Не женат (не замужем);16,8
54;Женский;75+;Среднее специальное;Не женат (не замужем);78,2
49;Женский;50 - 74;Среднее специальное;Не женат (не замужем);26,5
52;Мужской;25 - 49;Среднее специальное;Женат (замужем);21,9
58;Мужской;75+;Среднее;Не женат (не замужем);51,4
46;Женский;75+;Высшее, ученая степень;Женат (замужем);51,2
60;Женский;25 - 49;Среднее специальное;Не женат (не замужем);19,9
44;Мужской;75+;Среднее;Не женат (не замужем);44,6
46;Женский;25 - 49;Неполное среднее;Не женат (не замужем);22,5
47;Мужской;25 - 49;Среднее;Не женат (не замужем);12,1
48;Женский;18 - 24;Незаконченное высшее;Не женат (не замужем);9,5
50;Женский;75+;Среднее;Женат (замужем);47,6
20;Женский;18 - 24;Неполное среднее;Женат (замужем);8,6
72;Мужской;50 - 74;Неполное среднее;Женат (замужем);29,8
45;Мужской;50 - 74;Среднее;Женат (замужем);31,6
38;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);22,4
49;Мужской;75+;Незаконченное высшее;Не женат (не замужем);52,5
26;Мужской;18 - 24;Незаконченное высшее;Не женат (не замужем);11,2
56;Мужской;18 - 24;Среднее специальное;Не женат (не замужем);4,8
57;Мужской;50 - 74;Среднее специальное;Не женат (не замужем);26,8
72;Мужской;18 - 24;Незаконченное высшее;Не женат (не замужем);4,9
30;Мужской;25 - 49;Высшее, ученая степень;Не женат (не замужем);22,1
45;Женский;75+;Среднее специальное;Не женат (не замужем);43,7
45;Мужской;25 - 49;Среднее специальное;Женат (замужем);20,3
59;Женский;25 - 49;Среднее;Женат (замужем);19,5
49;Женский;25 - 49;Незаконченное высшее;Женат (замужем);25,2
32;Женский;25 - 49;Среднее;Не женат (не замужем);14
48;Женский;75+;Среднее специальное;Не женат (не замужем);85
70;Женский;75+;Среднее специальное;Не женат (не замужем);88,4
42;Женский;50 - 74;Среднее;Не женат (не замужем);34,5
66;Женский;25 - 49;Среднее;Женат (замужем);13,8
26;Мужской;75+;Высшее, ученая степень;Не женат (не замужем);57,7
45;Мужской;25 - 49;Неполное среднее;Женат (замужем);24,8
76;Женский;18 - 24;Незаконченное высшее;Женат (замужем);4,2
61;Мужской;75+;Среднее;Не женат (не замужем);99,2
45;Женский;75+;Незаконченное высшее;Не женат (не замужем);73,4
71;Мужской;18 - 24;Неполное среднее;Женат (замужем);5,4
40;Женский;25 - 49;Среднее;Женат (замужем);15,4
29;Мужской;25 - 49;Среднее;Не женат (не замужем);21,3
49;Женский;50 - 74;Неполное среднее;Женат (замужем);37
38;Мужской;75+;Незаконченное высшее;Женат (замужем);79,1
37;Женский;25 - 49;Незаконченное высшее;Женат (замужем);13,4
43;Мужской;18 - 24;Неполное среднее;Женат (замужем);12
37;Мужской;50 - 74;Среднее специальное;Женат (замужем);28,6
60;Мужской;75+;Среднее специальное;Женат (замужем);74,2
46;Мужской;50 - 74;Среднее;Женат (замужем);32
32;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);15,5
22;Мужской;18 - 24;Неполное среднее;Женат (замужем);9,4
28;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);16,9
43;Мужской;50 - 74;Среднее специальное;Женат (замужем);29,1
66;Мужской;18 - 24;Неполное среднее;Женат (замужем);6,1
34;Женский;18 - 24;Неполное среднее;Женат (замужем);11,8
26;Женский;25 - 49;Среднее специальное;Не женат (не замужем);15,6
35;Женский;25 - 49;Среднее специальное;Не женат (не замужем);17,9
60;Женский;75+;Неполное среднее;Не женат (не замужем);89
60;Женский;75+;Незаконченное высшее;Не женат (не замужем);49
31;Женский;18 - 24;Среднее специальное;Не женат (не замужем);10,6
47;Женский;25 - 49;Среднее специальное;Женат (замужем);14,3
42;Мужской;50 - 74;Среднее;Не женат (не замужем);28,8
29;Женский;75+;Среднее;Женат (замужем);42,2
41;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);30
39;Женский;18 - 24;Среднее специальное;Женат (замужем);10,3
44;Женский;75+;Незаконченное высшее;Женат (замужем);66,7
39;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);10,5
59;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);14,5
38;Мужской;50 - 74;Неполное среднее;Женат (замужем);30,9
31;Мужской;25 - 49;Среднее;Не женат (не замужем);12,5
53;Женский;75+;Неполное среднее;Не женат (не замужем);48,8
28;Женский;25 - 49;Среднее специальное;Не женат (не замужем);14,6
38;Женский;25 - 49;Среднее;Женат (замужем);15,8
33;Женский;25 - 49;Неполное среднее;Женат (замужем);15,8
42;Мужской;75+;Среднее специальное;Не женат (не замужем);70,6
42;Женский;50 - 74;Среднее;Женат (замужем);36,4
55;Мужской;75+;Неполное среднее;Женат (замужем);40,2
40;Мужской;18 - 24;Среднее специальное;Женат (замужем);9
61;Мужской;18 - 24;Высшее, ученая степень;Женат (замужем);6,9
61;Женский;18 - 24;Неполное среднее;Не женат (не замужем);4,9
23;Женский;18 - 24;Среднее специальное;Не женат (не замужем);10,2
35;Женский;50 - 74;Незаконченное высшее;Женат (замужем);27,3
50;Мужской;50 - 74;Среднее специальное;Не женат (не замужем);29,5
63;Женский;75+;Среднее;Женат (замужем);73,6
30;Мужской;18 - 24;Неполное среднее;Женат (замужем);8,9
24;Мужской;18 - 24;Среднее;Не женат (не замужем);11
19;Мужской;18 - 24;Среднее;Не женат (не замужем);6,3
55;Женский;75+;Неполное среднее;Не женат (не замужем);41,6
42;Мужской;75+;Незаконченное высшее;Не женат (не замужем);68
27;Женский;25 - 49;Среднее специальное;Женат (замужем);20,1
35;Женский;50 - 74;Среднее;Не женат (не замужем);32,9
47;Мужской;75+;Среднее специальное;Женат (замужем);98,7
48;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);15,3
50;Женский;75+;Среднее специальное;Не женат (не замужем);89,4
45;Женский;25 - 49;Среднее специальное;Женат (замужем);22,6
58;Женский;50 - 74;Неполное среднее;Не женат (не замужем);24,4
71;Женский;25 - 49;Среднее;Не женат (не замужем);17,8
40;Женский;50 - 74;Среднее;Женат (замужем);27,7
34;Мужской;25 - 49;Среднее;Женат (замужем);13,9
50;Женский;50 - 74;Незаконченное высшее;Женат (замужем);35,2
37;Женский;25 - 49;Среднее специальное;Женат (замужем);16,1
31;Мужской;18 - 24;Среднее специальное;Не женат (не замужем);8,6
45;Женский;75+;Среднее специальное;Женат (замужем);50,7
25;Женский;25 - 49;Среднее;Женат (замужем);15,3
48;Женский;75+;Неполное среднее;Женат (замужем);83,4
37;Мужской;75+;Среднее специальное;Женат (замужем);39,4
70;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);24,8
50;Женский;75+;Неполное среднее;Женат (замужем);37,4
48;Женский;75+;Среднее специальное;Женат (замужем);41
50;Женский;50 - 74;Среднее;Женат (замужем);31,2
52;Мужской;75+;Неполное среднее;Не женат (не замужем);48,1
19;Мужской;18 - 24;Среднее;Женат (замужем);7,4
31;Мужской;75+;Незаконченное высшее;Не женат (не замужем);65,8
54;Женский;25 - 49;Высшее, ученая степень;Не женат (не замужем);21,8
37;Мужской;18 - 24;Неполное среднее;Женат (замужем);7
51;Мужской;75+;Незаконченное высшее;Не женат (не замужем);86,5
29;Женский;25 - 49;Среднее;Не женат (не замужем);17,1
46;Мужской;75+;Неполное среднее;Не женат (не замужем);57,1
41;Женский;75+;Незаконченное высшее;Не женат (не замужем);55
25;Женский;25 - 49;Среднее;Не женат (не замужем);13,2
51;Мужской;50 - 74;Среднее специальное;Не женат (не замужем);30,7
38;Мужской;25 - 49;Среднее;Женат (замужем);20,3
47;Женский;75+;Среднее;Не женат (не замужем);80,4
32;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);13,9
45;Мужской;75+;Среднее;Не женат (не замужем);61,3
26;Женский;25 - 49;Среднее;Не женат (не замужем);21,2
54;Мужской;25 - 49;Среднее;Не женат (не замужем);13,2
39;Мужской;25 - 49;Среднее;Не женат (не замужем);13,5
76;Мужской;18 - 24;Неполное среднее;Женат (замужем);9
41;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);14,1
36;Женский;50 - 74;Незаконченное высшее;Женат (замужем);26,2
37;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);31,6
34;Женский;25 - 49;Среднее;Женат (замужем);24,3
71;Мужской;75+;Незаконченное высшее;Не женат (не замужем);85,2
63;Женский;18 - 24;Неполное среднее;Женат (замужем);4,9
55;Мужской;75+;Среднее специальное;Не женат (не замужем);80,2
46;Мужской;75+;Незаконченное высшее;Женат (замужем);47,5
41;Мужской;75+;Среднее специальное;Не женат (не замужем);39,6
52;Женский;75+;Среднее специальное;Женат (замужем);43
47;Женский;50 - 74;Среднее специальное;Не женат (не замужем);37,5
54;Мужской;75+;Среднее специальное;Женат (замужем);59
58;Женский;75+;Среднее;Женат (замужем);73,6
33;Женский;75+;Высшее, ученая степень;Не женат (не замужем);90,3
28;Женский;18 - 24;Среднее;Не женат (не замужем);11,6
40;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);24,1
64;Женский;25 - 49;Среднее;Не женат (не замужем);21,1
21;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);12,9
28;Женский;18 - 24;Незаконченное высшее;Не женат (не замужем);8
34;Женский;18 - 24;Неполное среднее;Женат (замужем);9,4
38;Мужской;25 - 49;Неполное среднее;Женат (замужем);14
23;Женский;18 - 24;Среднее специальное;Женат (замужем);10,8
40;Женский;75+;Незаконченное высшее;Не женат (не замужем);70,7
55;Мужской;75+;Среднее;Не женат (не замужем);72,3
54;Мужской;50 - 74;Высшее, ученая степень;Не женат (не замужем);24,7
39;Женский;25 - 49;Среднее;Женат (замужем);18,7
29;Женский;18 - 24;Среднее;Женат (замужем);10,7
27;Женский;18 - 24;Незаконченное высшее;Женат (замужем);8,9
31;Женский;18 - 24;Среднее;Не женат (не замужем);9,4
45;Мужской;50 - 74;Среднее специальное;Женат (замужем);27,7
40;Мужской;50 - 74;Неполное среднее;Не женат (не замужем);26,1
40;Мужской;25 - 49;Среднее;Не женат (не замужем);12,4
37;Мужской;18 - 24;Среднее;Не женат (не замужем);10
49;Мужской;50 - 74;Среднее специальное;Женат (замужем);32,2
45;Женский;75+;Среднее;Женат (замужем);43,5
36;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);28,7
57;Мужской;18 - 24;Неполное среднее;Женат (замужем);8,8
61;Мужской;75+;Среднее;Не женат (не замужем);43,5
46;Женский;25 - 49;Неполное среднее;Женат (замужем);24,3
45;Мужской;25 - 49;Неполное среднее;Женат (замужем);16,8
22;Мужской;18 - 24;Среднее специальное;Не женат (не замужем);10,3
37;Женский;50 - 74;Среднее специальное;Женат (замужем);32,2
46;Женский;50 - 74;Среднее;Женат (замужем);27,2
62;Мужской;75+;Среднее;Женат (замужем);80,6
29;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);14,2
27;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);17,1
40;Мужской;75+;Среднее;Женат (замужем);47,8
38;Женский;50 - 74;Среднее специальное;Женат (замужем);28,8
44;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);10,4
59;Женский;75+;Незаконченное высшее;Женат (замужем);56,6
35;Женский;75+;Среднее специальное;Не женат (не замужем);42,2
62;Женский;75+;Незаконченное высшее;Женат (замужем);76,8
26;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);8,4
57;Мужской;18 - 24;Среднее;Женат (замужем);9,2
52;Женский;75+;Среднее;Не женат (не замужем);45
46;Женский;25 - 49;Среднее;Не женат (не замужем);12,6
36;Мужской;75+;Незаконченное высшее;Не женат (не замужем);49,4
55;Женский;75+;Неполное среднее;Женат (замужем);76,3
59;Женский;75+;Среднее;Женат (замужем);53,3
28;Мужской;50 - 74;Незаконченное высшее;Женат (замужем);28,9
42;Женский;25 - 49;Незаконченное высшее;Женат (замужем);13,8
56;Мужской;75+;Среднее специальное;Не женат (не замужем);85,8
42;Женский;25 - 49;Среднее;Не женат (не замужем);13,8
48;Мужской;50 - 74;Среднее специальное;Женат (замужем);32,7
25;Женский;25 - 49;Неполное среднее;Не женат (не замужем);13
38;Женский;50 - 74;Незаконченное высшее;Не женат (не замужем);33,7
38;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);24,6
48;Мужской;50 - 74;Неполное среднее;Женат (замужем);30,5
33;Женский;18 - 24;Незаконченное высшее;Не женат (не замужем);10,7
53;Женский;75+;Незаконченное высшее;Женат (замужем);96,8
52;Мужской;75+;Неполное среднее;Не женат (не замужем);61,5
34;Мужской;25 - 49;Среднее;Женат (замужем);15,1
39;Женский;25 - 49;Незаконченное высшее;Женат (замужем);16,5
55;Мужской;18 - 24;Неполное среднее;Не женат (не замужем);11,3
39;Женский;50 - 74;Среднее;Женат (замужем);33
28;Женский;18 - 24;Среднее;Женат (замужем);10
26;Женский;25 - 49;Неполное среднее;Женат (замужем);13,7
45;Женский;50 - 74;Незаконченное высшее;Женат (замужем);30,6
35;Женский;18 - 24;Неполное среднее;Женат (замужем);11
34;Женский;25 - 49;Неполное среднее;Женат (замужем);14,2
44;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);12,3
39;Мужской;50 - 74;Неполное среднее;Женат (замужем);34,3
59;Мужской;75+;Высшее, ученая степень;Женат (замужем);72
38;Женский;25 - 49;Неполное среднее;Не женат (не замужем);12,9
30;Женский;18 - 24;Неполное среднее;Женат (замужем);12
34;Женский;50 - 74;Среднее;Женат (замужем);25,8
34;Женский;50 - 74;Среднее;Женат (замужем);36,5
29;Женский;18 - 24;Среднее специальное;Женат (замужем);7,5
47;Женский;75+;Среднее;Не женат (не замужем);64,5
56;Мужской;50 - 74;Среднее специальное;Женат (замужем);30,1
23;Женский;50 - 74;Незаконченное высшее;Женат (замужем);35,1
55;Женский;75+;Неполное среднее;Женат (замужем);47,4
41;Мужской;75+;Незаконченное высшее;Не женат (не замужем);89,2
48;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);14,3
19;Женский;18 - 24;Среднее;Женат (замужем);7,8
70;Мужской;18 - 24;Среднее;Женат (замужем);7,4
40;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);21
38;Женский;25 - 49;Неполное среднее;Женат (замужем);21,4
33;Мужской;25 - 49;Незаконченное высшее;Женат (замужем);22,6
20;Женский;18 - 24;Среднее специальное;Женат (замужем);10,4
36;Женский;18 - 24;Неполное среднее;Женат (замужем);11,5
41;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);23,7
26;Мужской;18 - 24;Неполное среднее;Женат (замужем);9,5
27;Женский;25 - 49;Среднее специальное;Не женат (не замужем);16,1
42;Женский;75+;Неполное среднее;Не женат (не замужем);37,9
41;Женский;50 - 74;Неполное среднее;Женат (замужем);30,5
66;Женский;25 - 49;Незаконченное высшее;Не женат (не замужем);17,9
57;Женский;25 - 49;Среднее;Не женат (не замужем);17,1
55;Мужской;75+;Высшее, ученая степень;Женат (замужем);67,7
39;Мужской;25 - 49;Среднее специальное;Не женат (не замужем);17,2
34;Мужской;25 - 49;Незаконченное высшее;Не женат (не замужем);24,5
34;Женский;25 - 49;Среднее;Женат (замужем);17,5
35;Женский;50 - 74;Неполное среднее;Женат (замужем);27,7
62;Мужской;75+;Среднее;Женат (замужем);74,4
53;Женский;75+;Неполное среднее;Женат (замужем);41
55;Женский;75+;Среднее специальное;Не женат (не замужем);88,2
31;Мужской;18 - 24;Среднее специальное;Женат (замужем);9,6
30;Женский;25 - 49;Среднее;Не женат (не замужем);17,6
66;Мужской;75+;Среднее специальное;Не женат (не замужем);46,2
55;Мужской;75+;Среднее;Женат (замужем);55,4
31;Мужской;18 - 24;Среднее;Не женат (не замужем);9,9
34;Женский;25 - 49;Неполное среднее;Женат (замужем);12,4
65;Мужской;50 - 74;Среднее;Не женат (не замужем);28,6
26;Мужской;50 - 74;Незаконченное высшее;Не женат (не замужем);29
54;Мужской;25 - 49;Неполное среднее;Не женат (не замужем);15
45;Мужской;75+;Среднее;Не женат (не замужем);37
65;Женский;25 - 49;Высшее, ученая степень;Не женат (не замужем);20,5
