Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Sales Channel
UK59698,California,2294.303629,No,Basic,High School or Below,02.09.2011,Unemployed,F,0,Suburban,Divorced,62,5,31,0,1,Personal Auto,Branch
OA57352,Arizona,6273.911874,No,Extended,College,16.02.2011,Retired,F,18577,Suburban,Divorced,86,21,76,0,6,Personal Auto,Branch
ZF84449,Oregon,3726.727996,No,Basic,College,26.02.2011,Unemployed,F,0,Suburban,Single,112,7,34,1,1,Special Auto,Agent
VH31965,Washington,5285.118669,No,Basic,Bachelor,24.01.2011,Employed,M,40783,Suburban,Married,67,13,43,1,9,Personal Auto,Call Center
HG39060,Oregon,5110.680779,No,Basic,Bachelor,28.01.2011,Unemployed,M,0,Suburban,Single,74,34,51,0,4,Corporate Auto,Call Center
EM29359,Nevada,7126.596501,No,Basic,College,02.03.2011,Medical Leave,M,17483,Suburban,Married,183,24,63,0,1,Personal Auto,Web
SF57173,Oregon,4601.634099,No,Basic,Master,27.01.2011,Employed,M,84394,Suburban,Married,114,9,38,0,1,Personal Auto,Agent
OT47603,Oregon,9155.239699,No,Extended,College,02.04.2011,Unemployed,M,0,Suburban,Married,127,3,93,0,3,Personal Auto,Agent
SW31412,Oregon,14808.05624,No,Basic,College,22.02.2011,Employed,F,41440,Suburban,Married,62,20,80,1,2,Personal Auto,Agent
JS36322,Arizona,8901.678357,No,Extended,High School or Below,19.01.2011,Unemployed,M,0,Suburban,Single,136,14,69,1,8,Personal Auto,Agent
RE81445,Oregon,5734.598243,No,Basic,College,01.05.2011,Employed,F,98132,Rural,Married,71,10,61,0,3,Personal Auto,Branch
RM24280,Oregon,4177.696973,No,Premium,High School or Below,02.03.2011,Unemployed,F,0,Suburban,Married,112,4,49,0,1,Personal Auto,Agent
LC25393,California,27776.28906,No,Extended,Bachelor,18.01.2011,Employed,M,88220,Rural,Married,230,28,63,0,2,Personal Auto,Call Center
UX38930,Arizona,10364.34749,No,Extended,Master,01.09.2011,Employed,F,58327,Urban,Married,129,31,5,0,3,Personal Auto,Branch
HD95496,Oregon,7851.901368,No,Basic,Master,02.03.2011,Employed,M,25950,Urban,Married,66,27,1,0,2,Personal Auto,Agent
RX24650,Oregon,4772.943848,No,Extended,High School or Below,18.02.2011,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Corporate Auto,Agent
DW19309,Oregon,14226.50485,No,Premium,High School or Below,01.08.2011,Employed,M,65726,Suburban,Married,177,35,90,0,7,Corporate Auto,Agent
EG48956,Washington,4031.104947,No,Basic,College,02.07.2011,Unemployed,M,0,Suburban,Married,63,35,59,3,3,Personal Auto,Call Center
UF88986,Washington,2794.907476,No,Basic,College,22.01.2011,Employed,F,39783,Suburban,Single,72,28,43,0,1,Personal Auto,Branch
DB42794,California,4362.931238,No,Premium,College,01.03.2011,Employed,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Branch
JB50798,Oregon,9624.524417,No,Extended,Master,20.01.2011,Employed,F,25629,Suburban,Single,124,3,70,2,6,Corporate Auto,Agent
JY45873,Washington,5015.009472,No,Extended,Bachelor,02.03.2011,Employed,F,48567,Suburban,Single,130,12,15,0,1,Corporate Auto,Agent
TE35785,California,6948.422239,No,Basic,Doctor,02.07.2011,Unemployed,M,0,Suburban,Married,196,0,73,2,1,Personal Auto,Branch
CM55703,Washington,2896.918767,No,Basic,College,02.09.2011,Employed,F,33746,Suburban,Divorced,74,1,6,1,1,Personal Auto,Agent
QN65180,Oregon,21903.91364,No,Extended,Bachelor,26.02.2011,Employed,F,22254,Rural,Married,79,22,75,0,2,Personal Auto,Call Center
GE47180,Nevada,9028.821403,No,Basic,High School or Below,14.02.2011,Employed,M,65974,Rural,Married,113,3,43,0,3,Personal Auto,Agent
VQ38776,Oregon,5303.759534,No,Extended,College,01.02.2011,Unemployed,F,0,Suburban,Single,76,18,63,0,3,Personal Auto,Agent
ZY90118,Washington,4165.354461,No,Premium,College,01.03.2011,Medical Leave,M,17161,Suburban,Married,113,1,22,1,1,Corporate Auto,Call Center
IN17648,Nevada,5123.768112,No,Basic,High School or Below,27.02.2011,Unemployed,M,0,Suburban,Single,74,1,62,0,7,Personal Auto,Agent
DF95759,Oregon,9492.342964,No,Extended,College,15.01.2011,Unemployed,M,0,Suburban,Married,132,9,85,0,6,Personal Auto,Agent
QG45324,Oregon,8204.863191,No,Basic,High School or Below,01.02.2011,Unemployed,F,0,Suburban,Married,73,9,14,0,2,Personal Auto,Agent
MN61620,Arizona,9877.295699,No,Extended,College,31.01.2011,Employed,F,67752,Rural,Single,131,4,40,4,9,Personal Auto,Web
YH86390,California,4815.009736,No,Basic,Bachelor,16.01.2011,Disabled,F,25398,Suburban,Divorced,64,30,80,0,6,Corporate Auto,Agent
FY13480,California,6277.011679,No,Extended,High School or Below,18.02.2011,Unemployed,M,0,Suburban,Single,88,30,19,0,4,Personal Auto,Web
YH61661,California,8260.639809,No,Basic,High School or Below,01.02.2011,Employed,M,33321,Suburban,Married,105,6,2,0,3,Special Auto,Branch
NL93182,Nevada,2549.450038,No,Extended,Bachelor,20.01.2011,Unemployed,M,0,Suburban,Single,78,13,32,0,1,Corporate Auto,Web
UM45563,Washington,4502.679656,No,Basic,Bachelor,27.01.2011,Employed,M,68798,Rural,Single,114,19,69,0,1,Personal Auto,Call Center
WE68644,Oregon,3803.921781,No,Basic,Bachelor,26.01.2011,Medical Leave,F,20325,Suburban,Married,100,4,6,0,1,Personal Auto,Branch
EZ30498,Oregon,8635.4035,No,Basic,Bachelor,15.02.2011,Medical Leave,M,13129,Suburban,Married,117,15,93,0,6,Personal Auto,Web
QY74517,Oregon,5510.558964,No,Basic,High School or Below,01.07.2011,Unemployed,F,0,Suburban,Single,73,24,57,0,4,Personal Auto,Branch
NM88660,Nevada,3585.884123,No,Extended,Master,01.10.2011,Employed,M,49080,Rural,Single,91,14,68,0,1,Corporate Auto,Agent
MZ82036,Nevada,4889.25278,No,Basic,College,20.02.2011,Employed,M,42536,Suburban,Divorced,63,30,57,0,6,Personal Auto,Branch
ID20929,Oregon,2756.941661,No,Basic,Bachelor,18.01.2011,Medical Leave,M,29926,Suburban,Divorced,74,25,34,0,1,Corporate Auto,Branch
EY50028,Nevada,3289.547398,No,Extended,Doctor,24.01.2011,Unemployed,M,0,Urban,Married,86,5,55,0,1,Corporate Auto,Agent
TT82373,California,10937.1785,No,Extended,Bachelor,01.08.2011,Employed,F,21450,Suburban,Married,138,15,35,0,4,Personal Auto,Branch
OH64088,California,7375.567916,No,Basic,High School or Below,02.09.2011,Employed,M,33345,Suburban,Single,65,32,52,0,2,Corporate Auto,Agent
SK97780,California,10110.77818,No,Extended,Bachelor,16.02.2011,Medical Leave,F,15752,Urban,Married,90,27,37,0,2,Corporate Auto,Branch
IO33050,Oregon,5119.414293,No,Basic,High School or Below,01.10.2011,Employed,F,40169,Urban,Divorced,65,1,47,1,3,Personal Auto,Call Center
XA55917,California,8533.832013,No,Basic,College,28.02.2011,Disabled,F,26049,Suburban,Married,113,10,15,1,9,Personal Auto,Web
JK32620,Nevada,2224.768,No,Basic,College,22.01.2011,Unemployed,M,0,Suburban,Single,68,3,4,0,1,Personal Auto,Web
RQ19236,Arizona,8042.803784,No,Basic,Doctor,01.05.2011,Employed,M,55411,Urban,Married,100,24,53,0,4,Personal Auto,Web
QC47433,Oregon,2554.437138,No,Basic,College,21.01.2011,Medical Leave,M,12459,Suburban,Married,70,4,41,0,1,Personal Auto,Branch
RA93608,Oregon,18073.93999,No,Extended,Bachelor,24.01.2011,Employed,M,64620,Suburban,Married,76,24,32,1,2,Personal Auto,Agent
XH97711,California,2430.506586,No,Basic,Bachelor,14.01.2011,Employed,M,83140,Urban,Married,61,25,70,0,1,Corporate Auto,Agent
AU96286,Oregon,3167.658442,No,Extended,Bachelor,19.01.2011,Unemployed,F,0,Suburban,Single,92,20,50,0,1,Corporate Auto,Web
KC17170,Arizona,5465.603983,No,Basic,Bachelor,31.01.2011,Employed,F,54422,Rural,Married,68,9,8,0,5,Corporate Auto,Branch
ZN47335,California,10357.51422,No,Extended,College,16.02.2011,Employed,M,68309,Rural,Divorced,131,4,67,0,9,Corporate Auto,Web
EI46264,California,2537.813878,No,Basic,High School or Below,01.12.2011,Employed,M,56621,Rural,Married,65,27,36,2,1,Personal Auto,Branch
EK87864,Arizona,2821.947219,No,Basic,College,01.06.2011,Employed,F,38977,Rural,Married,70,27,22,0,1,Special Auto,Agent
GV45403,Arizona,7757.128146,No,Premium,Bachelor,23.01.2011,Unemployed,M,0,Suburban,Divorced,111,32,13,0,3,Corporate Auto,Branch
QK31192,Arizona,4079.132667,No,Premium,High School or Below,18.02.2011,Unemployed,M,0,Suburban,Married,114,12,43,0,1,Corporate Auto,Branch
LU89008,Arizona,5955.544552,No,Extended,College,02.07.2011,Unemployed,F,0,Suburban,Single,83,35,87,0,8,Personal Auto,Agent
NS10490,Oregon,14158.61364,No,Basic,Bachelor,26.02.2011,Employed,F,83235,Suburban,Married,70,16,33,0,2,Personal Auto,Agent
KL98495,Nevada,8487.238032,No,Basic,College,01.05.2011,Unemployed,M,0,Suburban,Married,74,7,93,0,2,Personal Auto,Agent
IU96845,Arizona,6285.476868,No,Extended,College,02.10.2011,Employed,M,32390,Rural,Married,80,20,36,0,8,Personal Auto,Call Center
QL93655,Oregon,11473.48149,No,Extended,High School or Below,01.12.2011,Employed,F,66538,Urban,Married,95,14,64,0,2,Personal Auto,Agent
QZ42725,Washington,2310.882998,No,Basic,Bachelor,01.01.2011,Unemployed,F,0,Suburban,Single,64,12,24,0,1,Personal Auto,Agent
LZ34046,Oregon,23594.6802,No,Basic,Bachelor,31.01.2011,Employed,M,76358,Rural,Married,66,25,3,0,2,Personal Auto,Agent
ZH19885,Washington,2514.59196,No,Basic,High School or Below,14.02.2011,Employed,F,43860,Rural,Single,65,15,58,0,1,Personal Auto,Agent
YE88490,Arizona,5380.898636,No,Basic,College,24.02.2011,Employed,F,55350,Suburban,Married,67,0,13,0,9,Personal Auto,Agent
YC80498,California,4770.550911,No,Basic,College,02.01.2011,Medical Leave,F,12964,Suburban,Single,65,2,37,0,4,Personal Auto,Web
AI85843,Arizona,6756.651404,No,Extended,Master,01.06.2011,Employed,F,33288,Urban,Married,86,1,27,2,9,Personal Auto,Branch
XD66024,Arizona,5936.011773,No,Extended,College,27.01.2011,Unemployed,F,0,Suburban,Single,84,31,25,0,3,Personal Auto,Call Center
FY51713,Arizona,3570.760509,No,Extended,Bachelor,01.07.2011,Employed,F,56168,Suburban,Married,88,13,20,0,1,Personal Auto,Branch
PH26378,California,6019.960469,No,Extended,College,31.01.2011,Unemployed,M,0,Suburban,Single,92,3,28,0,4,Personal Auto,Agent
WQ18638,Oregon,5426.863953,No,Basic,High School or Below,25.02.2011,Employed,M,23105,Suburban,Married,69,15,21,0,3,Personal Auto,Agent
KY14688,Oregon,2730.313804,No,Basic,Master,01.03.2011,Employed,F,36218,Rural,Married,68,6,83,0,1,Personal Auto,Branch
TC97762,California,4982.681374,No,Basic,High School or Below,27.02.2011,Employed,F,52275,Suburban,Married,62,6,88,0,5,Corporate Auto,Branch
QC87108,Oregon,8769.266756,No,Basic,College,19.01.2011,Employed,F,49665,Suburban,Single,74,5,51,0,2,Personal Auto,Web
CX12134,Nevada,4220.613534,No,Premium,High School or Below,31.01.2011,Employed,M,32471,Suburban,Single,110,0,87,0,1,Personal Auto,Agent
SM73248,Arizona,11537.50507,No,Extended,High School or Below,21.01.2011,Unemployed,M,0,Suburban,Single,86,12,89,1,2,Corporate Auto,Agent
CK19789,California,5887.182043,No,Basic,Master,14.02.2011,Employed,F,62773,Rural,Married,73,19,57,0,9,Personal Auto,Branch
UV12583,California,4700.583771,No,Basic,College,18.02.2011,Employed,F,76694,Suburban,Married,117,34,23,0,1,Personal Auto,Agent
JC11405,Oregon,10963.95723,No,Premium,High School or Below,02.08.2011,Employed,M,55687,Suburban,Divorced,276,33,91,0,1,Personal Auto,Agent
KA89683,Arizona,2523.171245,No,Basic,High School or Below,30.01.2011,Unemployed,F,0,Suburban,Single,70,20,81,0,1,Personal Auto,Branch
BG85305,Nevada,3757.804716,No,Extended,Doctor,28.01.2011,Employed,M,36633,Suburban,Single,96,20,61,1,1,Personal Auto,Call Center
UQ87917,Oregon,12941.73353,No,Basic,High School or Below,24.01.2011,Employed,M,77060,Urban,Married,106,23,90,0,2,Personal Auto,Branch
XN11823,Nevada,3764.465074,No,Extended,Bachelor,17.02.2011,Employed,F,92600,Suburban,Single,94,9,48,0,1,Corporate Auto,Web
OS46571,California,6889.557028,No,Basic,High School or Below,02.04.2011,Unemployed,M,0,Suburban,Single,66,2,75,0,2,Personal Auto,Branch
PX17116,Nevada,3623.454198,No,Basic,College,20.01.2011,Unemployed,M,0,Suburban,Single,111,6,24,2,1,Corporate Auto,Agent
RP19541,Arizona,7582.113842,No,Basic,College,02.03.2011,Employed,M,64801,Urban,Married,64,23,19,0,2,Personal Auto,Web
ZR25747,Oregon,8277.74558,No,Premium,College,02.06.2011,Employed,F,45257,Suburban,Married,103,33,90,0,4,Corporate Auto,Call Center
NQ86532,California,2576.455597,No,Basic,High School or Below,22.01.2011,Medical Leave,M,26854,Suburban,Married,66,31,70,0,1,Personal Auto,Agent
JY27336,Oregon,8205.387936,No,Basic,College,22.02.2011,Employed,F,85840,Rural,Married,102,14,79,2,4,Corporate Auto,Agent
PB54378,Oregon,19582.46887,No,Basic,Doctor,29.01.2011,Medical Leave,F,26463,Suburban,Married,72,28,93,0,2,Corporate Auto,Branch
SV38190,Nevada,6481.526576,No,Extended,Bachelor,13.01.2011,Employed,F,30689,Suburban,Married,81,23,51,0,5,Personal Auto,Branch
CV24005,Oregon,2599.310879,No,Basic,High School or Below,13.02.2011,Employed,M,29590,Suburban,Married,66,17,18,0,1,Corporate Auto,Agent
EX28656,Oregon,9830.337629,No,Premium,College,02.10.2011,Employed,F,25965,Suburban,Divorced,253,15,59,0,1,Personal Auto,Agent
CF57022,Oregon,10442.65139,No,Extended,Bachelor,26.01.2011,Medical Leave,M,17269,Suburban,Married,139,3,31,0,5,Personal Auto,Branch
GM16780,Oregon,36057.53702,No,Extended,College,02.07.2011,Employed,M,90330,Rural,Single,137,0,86,3,2,Corporate Auto,Call Center
BX94438,California,8470.036773,No,Basic,High School or Below,01.07.2011,Unemployed,F,0,Suburban,Married,113,34,5,0,8,Corporate Auto,Call Center
RM41745,California,8278.786492,No,Premium,High School or Below,18.01.2011,Unemployed,F,0,Suburban,Married,110,20,66,0,7,Personal Auto,Agent
XR70252,California,4788.932598,No,Basic,High School or Below,22.02.2011,Unemployed,F,0,Suburban,Married,67,2,49,1,3,Personal Auto,Web
YH92099,Arizona,3087.999917,No,Extended,Bachelor,16.01.2011,Disabled,F,18558,Suburban,Married,80,17,23,0,1,Special Auto,Agent
SG81493,Arizona,4443.736209,No,Premium,Bachelor,01.01.2011,Employed,M,46384,Rural,Married,113,33,93,0,1,Corporate Auto,Web
ZX23819,Oregon,7984.086473,No,Basic,High School or Below,02.10.2011,Unemployed,F,0,Suburban,Single,72,1,77,0,2,Personal Auto,Call Center
FJ54907,Oregon,7180.971028,No,Basic,College,01.09.2011,Employed,F,42303,Suburban,Married,180,24,66,0,1,Personal Auto,Agent
CU26127,California,15656.03434,No,Extended,Bachelor,02.02.2011,Employed,F,71731,Urban,Single,130,12,50,0,2,Corporate Auto,Branch
YH60476,Oregon,5780.182197,No,Basic,High School or Below,26.02.2011,Employed,M,51066,Suburban,Single,74,23,0,0,8,Corporate Auto,Call Center
ZZ97035,California,20714.94043,No,Extended,College,02.01.2011,Unemployed,M,0,Suburban,Single,203,20,66,0,2,Corporate Auto,Branch
GE82737,Nevada,5337.352409,No,Extended,Bachelor,14.02.2011,Unemployed,F,0,Suburban,Single,86,19,93,3,5,Personal Auto,Agent
KY21873,Arizona,5050.826183,No,Basic,College,25.02.2011,Unemployed,M,0,Rural,Married,69,16,45,0,6,Personal Auto,Agent
UA51318,Arizona,5116.624022,No,Basic,High School or Below,17.02.2011,Employed,F,26173,Suburban,Single,68,2,10,1,9,Corporate Auto,Web
BV55014,Oregon,7268.736958,No,Basic,Bachelor,02.08.2011,Employed,M,24445,Suburban,Single,63,18,15,0,2,Personal Auto,Agent
HX21307,Oregon,2616.613903,No,Basic,College,25.02.2011,Employed,M,72302,Suburban,Divorced,66,6,27,0,1,Personal Auto,Agent
LQ68252,Oregon,3738.436222,No,Basic,High School or Below,02.11.2011,Retired,M,27208,Suburban,Single,102,10,65,0,1,Personal Auto,Web
CR92802,California,2725.356404,No,Basic,Master,01.03.2011,Employed,F,36650,Rural,Married,69,2,70,1,1,Special Auto,Web
SL35268,Arizona,5453.861203,No,Basic,College,01.04.2011,Employed,M,30855,Urban,Married,68,7,15,0,7,Corporate Auto,Web
RD62882,Arizona,6846.150323,No,Extended,Bachelor,27.01.2011,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Call Center
JS42382,Oregon,6172.914199,No,Extended,Master,27.01.2011,Employed,M,99960,Suburban,Married,76,19,83,0,4,Corporate Auto,Agent
BT30554,Arizona,10346.32454,No,Extended,Bachelor,13.02.2011,Unemployed,F,0,Suburban,Single,98,1,15,0,2,Personal Auto,Agent
VP57424,Nevada,6997.008618,No,Extended,Bachelor,01.08.2011,Employed,F,55873,Urban,Married,88,30,19,0,6,Personal Auto,Agent
VU19243,Arizona,4196.257691,No,Premium,High School or Below,26.02.2011,Medical Leave,F,18052,Suburban,Divorced,111,5,71,0,1,Personal Auto,Web
TA82973,Oregon,7858.109763,No,Basic,High School or Below,02.01.2011,Employed,F,28937,Rural,Divorced,104,28,23,2,6,Personal Auto,Call Center
GK71720,Oregon,6064.343994,No,Extended,High School or Below,16.01.2011,Unemployed,F,0,Suburban,Single,86,34,80,0,5,Personal Auto,Call Center
OQ61223,California,17497.52201,No,Basic,College,28.02.2011,Unemployed,M,0,Suburban,Divorced,73,9,94,0,2,Personal Auto,Agent
LL62746,Oregon,8970.647312,No,Basic,Doctor,02.06.2011,Medical Leave,M,12829,Urban,Married,118,33,1,0,9,Personal Auto,Call Center
JQ56711,Oregon,5923.117229,No,Basic,Master,02.02.2011,Employed,F,92163,Rural,Married,73,3,79,0,6,Personal Auto,Web
AW77988,Oregon,35850.59935,No,Basic,High School or Below,01.06.2011,Disabled,M,17588,Suburban,Single,192,24,92,0,2,Personal Auto,Web
HF75891,Washington,4331.460674,No,Basic,High School or Below,02.11.2011,Employed,F,82302,Suburban,Married,106,11,92,0,1,Personal Auto,Branch
MY97912,Arizona,13309.33517,No,Extended,College,13.01.2011,Unemployed,M,0,Suburban,Divorced,127,19,40,0,2,Personal Auto,Call Center
IB87349,California,4528.50489,No,Premium,High School or Below,25.02.2011,Employed,M,70340,Suburban,Married,113,5,56,0,1,Special Auto,Agent
AW73065,Oregon,2791.906514,No,Basic,High School or Below,02.06.2011,Unemployed,F,0,Suburban,Single,74,35,59,0,1,Personal Auto,Agent
HI74419,Washington,8092.87696,No,Basic,College,02.05.2011,Employed,M,50825,Urban,Married,102,3,46,0,3,Personal Auto,Agent
PX70175,Arizona,7996.00748,No,Extended,College,19.01.2011,Employed,M,93459,Suburban,Married,99,9,85,0,5,Personal Auto,Web
KF75098,Arizona,5129.738992,No,Basic,Bachelor,25.01.2011,Employed,M,86148,Suburban,Married,65,19,51,2,4,Personal Auto,Agent
IS50283,California,5697.175238,No,Basic,Bachelor,17.01.2011,Employed,F,27048,Suburban,Married,72,5,85,0,4,Corporate Auto,Agent
MY64920,Oregon,9217.130629,No,Basic,College,27.02.2011,Employed,F,73259,Suburban,Married,115,7,31,0,4,Personal Auto,Web
KN34250,Oregon,10208.92761,No,Extended,College,14.02.2011,Employed,F,35482,Suburban,Married,129,21,59,0,3,Corporate Auto,Branch
GN46207,Oregon,4170.687348,No,Basic,Master,17.01.2011,Employed,F,29462,Suburban,Single,107,28,23,1,1,Personal Auto,Branch
KL57176,Oregon,4505.405812,No,Basic,College,15.02.2011,Employed,F,67801,Rural,Divorced,115,12,45,1,1,Personal Auto,Web
MN94234,California,3107.568648,No,Extended,High School or Below,19.01.2011,Unemployed,M,0,Suburban,Married,94,34,59,4,1,Personal Auto,Branch
JY90595,Arizona,5528.664986,No,Basic,High School or Below,02.07.2011,Medical Leave,M,16042,Suburban,Married,73,33,58,0,9,Personal Auto,Agent
HK26543,California,5045.866663,No,Basic,High School or Below,27.01.2011,Employed,M,28056,Suburban,Married,64,32,41,1,8,Personal Auto,Branch
PN86062,California,2962.722482,No,Extended,High School or Below,01.09.2011,Medical Leave,M,16495,Suburban,Married,85,25,75,3,1,Corporate Auto,Branch
VW27730,California,8665.956372,No,Basic,Master,02.08.2011,Employed,F,41163,Rural,Married,108,11,66,0,3,Corporate Auto,Branch
SH55671,Arizona,11413.44115,No,Premium,College,02.06.2011,Unemployed,F,0,Suburban,Married,161,3,71,1,9,Personal Auto,Branch
MO56878,California,15488.43196,No,Basic,Bachelor,01.05.2011,Employed,M,33799,Suburban,Single,109,28,52,3,2,Corporate Auto,Agent
QP80741,Washington,6048.574243,No,Basic,College,01.01.2011,Unemployed,F,0,Suburban,Married,61,17,71,3,2,Corporate Auto,Agent
SV35618,Oregon,5934.741492,No,Premium,Bachelor,28.02.2011,Employed,F,87747,Rural,Divorced,147,3,87,1,1,Personal Auto,Agent
RX12347,Nevada,3543.232138,No,Extended,College,02.09.2011,Employed,M,35695,Suburban,Married,90,2,7,0,1,Personal Auto,Branch
FR55658,California,3490.028304,No,Extended,Master,27.01.2011,Employed,M,90985,Rural,Divorced,87,33,39,0,1,Personal Auto,Branch
XS12556,California,3683.099864,No,Basic,College,01.06.2011,Unemployed,F,0,Suburban,Married,101,19,16,0,1,Corporate Auto,Call Center
ZU73588,California,5989.773931,No,Premium,College,19.01.2011,Employed,M,66839,Suburban,Single,154,33,24,0,1,Personal Auto,Branch
WT43034,California,12500.84302,No,Premium,High School or Below,15.01.2011,Unemployed,F,0,Suburban,Married,165,16,43,0,3,Personal Auto,Call Center
VM13430,Oregon,8609.158215,No,Basic,Bachelor,14.01.2011,Employed,F,79090,Urban,Married,107,2,74,0,3,Corporate Auto,Branch
TC78849,Oregon,2497.45507,No,Basic,Bachelor,02.12.2011,Employed,M,24825,Rural,Married,64,34,44,0,1,Personal Auto,Branch
VC34764,California,7019.177186,No,Basic,College,23.01.2011,Retired,M,26806,Suburban,Married,63,32,19,0,2,Personal Auto,Agent
WO90953,Oregon,5387.926265,No,Basic,College,21.01.2011,Employed,F,56835,Suburban,Married,67,25,16,0,3,Personal Auto,Branch
IU47468,Oregon,6165.557517,No,Extended,Bachelor,24.01.2011,Unemployed,F,0,Suburban,Single,88,12,54,0,6,Special Auto,Web
KO46064,California,2730.20294,No,Basic,Bachelor,25.02.2011,Employed,M,46135,Rural,Married,69,12,68,0,1,Personal Auto,Agent
RB34917,Arizona,5162.116944,No,Basic,Bachelor,01.03.2011,Unemployed,F,0,Suburban,Single,73,21,87,0,4,Personal Auto,Branch
BI38192,Oregon,7937.064822,No,Basic,High School or Below,02.01.2011,Employed,F,22862,Suburban,Married,67,9,40,0,2,Personal Auto,Agent
PU18983,Oregon,8608.157233,No,Basic,High School or Below,02.04.2011,Employed,F,21450,Suburban,Divorced,110,8,80,2,3,Personal Auto,Call Center
SW79912,Oregon,2632.545795,No,Basic,Bachelor,22.01.2011,Employed,M,95854,Suburban,Married,65,16,78,0,1,Personal Auto,Agent
ES39217,Oregon,7785.004214,No,Extended,Bachelor,19.02.2011,Employed,F,44897,Suburban,Married,99,22,46,1,7,Personal Auto,Web
OY51402,Washington,8255.76385,No,Basic,High School or Below,14.01.2011,Employed,F,54040,Rural,Married,103,14,88,0,4,Personal Auto,Agent
UA19178,Oregon,4980.825042,No,Basic,Master,02.10.2011,Employed,F,53265,Urban,Married,62,12,27,0,3,Personal Auto,Call Center
PR53785,Arizona,7457.237794,No,Basic,High School or Below,22.02.2011,Unemployed,F,0,Suburban,Married,198,18,55,1,1,Personal Auto,Branch
RJ85627,Washington,12302.76244,No,Basic,Bachelor,01.05.2011,Employed,F,43817,Urban,Married,62,25,12,1,2,Personal Auto,Branch
CN90378,California,6862.508337,No,Extended,High School or Below,27.02.2011,Employed,F,54780,Rural,Married,88,22,72,3,5,Personal Auto,Agent
KI56154,Nevada,9048.983447,No,Basic,High School or Below,24.01.2011,Unemployed,M,0,Suburban,Married,119,9,8,0,3,Personal Auto,Web
UI55951,California,5548.031892,No,Basic,Bachelor,13.01.2011,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Personal Auto,Agent
FF28650,Oregon,8312.681598,No,Basic,Bachelor,01.03.2011,Retired,M,21442,Suburban,Divorced,118,32,84,0,3,Personal Auto,Web
FS55302,California,2389.980951,No,Basic,Bachelor,17.02.2011,Employed,M,27615,Suburban,Married,62,19,18,1,1,Personal Auto,Call Center
TN79487,California,4458.113369,No,Basic,Bachelor,01.02.2011,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal Auto,Agent
HG32616,Nevada,5295.741716,No,Extended,High School or Below,25.02.2011,Employed,M,50200,Urban,Divorced,135,23,98,0,1,Personal Auto,Agent
UK41984,Arizona,3839.606117,No,Basic,Doctor,21.02.2011,Unemployed,F,0,Suburban,Divorced,112,3,51,2,1,Personal Auto,Agent
LZ52266,California,3731.504584,No,Extended,High School or Below,24.02.2011,Unemployed,F,0,Suburban,Married,96,31,34,0,1,Personal Auto,Agent
PM27367,California,2778.903705,No,Basic,Master,27.02.2011,Employed,F,73570,Rural,Single,70,0,46,1,1,Special Auto,Branch
ZK21724,Oregon,4016.541995,No,Basic,High School or Below,02.10.2011,Unemployed,F,0,Suburban,Single,111,4,85,0,1,Personal Auto,Call Center
QV59143,Washington,8236.917193,No,Premium,High School or Below,02.02.2011,Unemployed,F,0,Suburban,Married,106,11,15,0,6,Special Auto,Web
QE22757,Nevada,2491.317024,No,Basic,Doctor,29.01.2011,Employed,M,36631,Rural,Divorced,62,30,77,0,1,Personal Auto,Agent
ON77649,Oregon,2908.875917,No,Basic,College,29.01.2011,Employed,F,35895,Urban,Married,73,11,51,0,1,Personal Auto,Agent
RN82884,Arizona,4282.947971,No,Basic,College,26.02.2011,Employed,F,40864,Rural,Married,109,16,70,1,1,Personal Auto,Agent
CQ75652,Oregon,8341.623748,No,Premium,College,01.08.2011,Unemployed,M,0,Suburban,Divorced,118,15,77,0,4,Personal Auto,Agent
FF58467,Arizona,5090.781344,No,Basic,Master,02.05.2011,Employed,F,93018,Rural,Divorced,63,5,90,0,3,Personal Auto,Call Center
BS83666,Oregon,7366.1883,No,Basic,Bachelor,13.02.2011,Employed,M,70014,Rural,Divorced,62,6,4,0,2,Corporate Auto,Agent
WO29605,Oregon,2436.875126,No,Basic,College,25.02.2011,Employed,F,48875,Rural,Married,61,20,9,0,1,Personal Auto,Call Center
TL77607,California,8852.688689,No,Basic,Bachelor,02.05.2011,Employed,M,67969,Urban,Married,74,11,14,0,2,Personal Auto,Branch
EZ50606,Oregon,23875.47675,No,Basic,High School or Below,14.02.2011,Unemployed,F,0,Suburban,Married,108,8,55,0,2,Corporate Auto,Web
OS39723,Oregon,5600.496541,No,Basic,Doctor,23.01.2011,Employed,F,68665,Suburban,Married,69,33,67,0,7,Personal Auto,Call Center
FN69743,California,4636.54647,No,Basic,College,01.01.2011,Retired,M,26802,Suburban,Married,66,7,43,1,5,Corporate Auto,Agent
